property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
450000,8,RUE,FRANKLIN,93120,LA COURNEUVE,93,Maison,132,5,313,2022
420000,55,AV,DU MUGUET,93370,MONTFERMEIL,93,Maison,80,4,585,2022
3200000,18,AV,VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS,93,Appartement,125,6,547,2022
3200000,18,AV,VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS,93,Local industriel. commercial ou assimilé,197,0,547,2022
3200000,18,AV,VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS,93,Appartement,125,6,470,2022
3200000,18,AV,VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS,93,Local industriel. commercial ou assimilé,197,0,470,2022
250000,98,RUE,LOUIS COUTANT,93600,AULNAY SOUS BOIS,93,Maison,70,2,383,2022
334000,5,ALL,DES MARRONNIERS,93250,VILLEMOMBLE,93,Dépendance,0,0,190,2022
334000,5,ALL,DES MARRONNIERS,93250,VILLEMOMBLE,93,Maison,68,5,190,2022
460000,52,RUE,CAPITAINE GUYNEMER,93230,ROMAINVILLE,93,Maison,64,4,193,2022
460000,52,RUE,CAPITAINE GUYNEMER,93230,ROMAINVILLE,93,Maison,45,2,193,2022
178000,68,RUE,D ALSACE,93290,TREMBLAY-EN-FRANCE,93,Local industriel. commercial ou assimilé,380,0,306,2022
464840,41,RUE,RONSARD,93290,TREMBLAY-EN-FRANCE,93,Maison,160,6,500,2022
200000,20,RTE,D ARGENTEUIL,93800,EPINAY SUR SEINE,93,Dépendance,0,0,242,2022
200000,20,RTE,D ARGENTEUIL,93800,EPINAY SUR SEINE,93,Maison,49,2,242,2022
310000,62,RUE,HECTOR BERLIOZ,93290,TREMBLAY-EN-FRANCE,93,Maison,69,3,511,2022
135000,9007,IMP,DES BEAUX ACACIAS,93150,LE BLANC-MESNIL,93,Dépendance,0,0,12,2022
391950,13,AV,DU CHANVRE,93270,SEVRAN,93,Maison,140,5,406,2022
475000,44,RUE,DES LILAS,93330,NEUILLY-SUR-MARNE,93,Maison,98,6,427,2022
